Row	Gene	Uniprot	nrLocations	Type	LocationNumber	LOCATION	Reliability	HPAbin	SCtype	SCneigh	SC_ClassCount	SCvalid
35	ALOX12	P18054	2	MultiLoc	FirstLoc	I_Nuclear speckles	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
37	ALOX5	P09917	1	SingleLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
38	ALPK2	Q86TB3	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
39	ALPK3	Q96L96	1	SingleLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
40	ALPL	P05186	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
41	ALPPL2	P10696	1	SingleLoc	FirstLoc	D_Plasma membrane	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
42	ANKDD1A	Q495B1	1	SingleLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
43	ANKRD36	A6QL64	2	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
45	ANP32E	Q9BTT0	3	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
48	ANXA10	Q9UJ72	3	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
51	ANXA2R	Q3ZCQ2	4	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
55	APC2	O95996	3	MultiLoc	FirstLoc	Y_Cytokinetic bridge	3_Approved	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
58	APCDD1L	Q8NCL9	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	4_Uncertain	4_Mitochondria	SingleCLclass	1_Secretory	1	FALSE
59	AQP4	P55087	2	MultiLoc	FirstLoc	E_Cell Junctions	2_Supported	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
61	AQP5	P55064	1	SingleLoc	FirstLoc	D_Plasma membrane	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
62	ARHGAP27	Q6ZUM4	2	MultiLoc	FirstLoc	H_Nucleus	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
64	ARHGAP30	Q7Z6I6	1	SingleLoc	FirstLoc	A_Vesicles	2_Supported	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
65	ARHGAP36	Q6ZRI8	3	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
68	ARHGAP4	P98171	2	MultiLoc	FirstLoc	G_Nucleoplasm	4_Uncertain	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
70	ARHGEF38	Q9NXL2	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
72	ARHGEF6	Q15052	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
73	ARHGEF9	O43307	1	SingleLoc	FirstLoc	N_Cytosol	2_Supported	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
74	ARMC2	Q8NEN0	1	SingleLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
75	ARMCX4	Q5H9R4	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
77	ARTN	Q5T4W7	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	4_Uncertain	4_Mitochondria	SingleCLclass	1_Secretory	1	FALSE
78	ASB13	Q8WXK3	2	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
80	ASPN	Q9BXN1	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
82	ASTN2	O75129	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
84	ATP2A1	O14983	1	SingleLoc	FirstLoc	C_Endoplasmic reticulum	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
85	ATP6V1C2	Q8NEY4	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	4_Uncertain	4_Mitochondria	SingleCLclass	3_Cytosol	1	FALSE
86	AVPI1	Q5T686	2	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
88	B4GALNT4	Q76KP1	4	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
92	BATF	Q16520	1	SingleLoc	FirstLoc	G_Nucleoplasm	1_Validated	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
93	BCL11B	Q9C0K0	2	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
95	BCL2	P10415	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
97	BCL2L14	Q9BZR8	1	SingleLoc	FirstLoc	N_Cytosol	4_Uncertain	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
98	BDNF	P23560	2	MultiLoc	FirstLoc	I_Nuclear speckles	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
100	BHLHA15	Q7RTS1	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
102	BHLHB9	Q6PI77	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	2_Nucleus	1	FALSE
103	BHLHE41	Q9C0J9	1	SingleLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
104	BICC1	Q9H694	1	SingleLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
105	BIRC3	Q13489	2	MultiLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
107	BMP7	P18075	3	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
110	BNC1	Q01954	1	SingleLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
111	BNC2	Q6ZN30	2	MultiLoc	FirstLoc	H_Nucleus	2_Supported	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
113	BRSK2	Q8IWQ3	1	SingleLoc	FirstLoc	B_Golgi apparatus	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
114	BTBD19	C9JJ37	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
115	BTN2A2	Q8WVV5	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	2_Supported	4_Mitochondria	SingleCLclass	3_Cytosol	1	FALSE
116	BTNL9	Q6UXG8	2	MultiLoc	FirstLoc	L_Nuclear membrane	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
118	BVES	Q8NE79	1	SingleLoc	FirstLoc	E_Cell Junctions	2_Supported	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
119	C11orf24	Q96F05	2	MultiLoc	FirstLoc	G_Nucleoplasm	4_Uncertain	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
121	C11orf80	Q8N6T0	1	SingleLoc	FirstLoc	O_Centrosome	3_Approved	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
122	C14orf79	Q96F83	3	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
125	C15orf61	A6NNL5	3	MultiLoc	FirstLoc	J_Nucleoli	3_Approved	2_Nucleus	SingleCLclass	4_Mitochondria	1	FALSE
128	C17orf51	A8MQB3	3	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	4_Mitochondria	1	FALSE
131	C19orf33	Q9GZP8	3	MultiLoc	FirstLoc	H_Nucleus	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
134	C19orf81	C9J6K1	2	MultiLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
136	C1orf216	Q8TAB5	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
138	C1QTNF1	Q9BXJ1	2	MultiLoc	FirstLoc	H_Nucleus	2_Supported	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
140	C3orf62	Q6ZUJ4	1	SingleLoc	FirstLoc	I_Nuclear speckles	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
141	C3orf67	Q6ZVT6	2	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
143	C3orf70	A6NLC5	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
144	C5orf46	Q6UWT4	2	MultiLoc	FirstLoc	I_Nuclear speckles	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
146	C5orf63	A6NC05	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	3_Approved	4_Mitochondria	SingleCLclass	4_Mitochondria	1	TRUE
147	C6orf141	Q5SZD1	1	SingleLoc	FirstLoc	L_Nuclear membrane	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
148	C6orf223	Q8N319	1	SingleLoc	FirstLoc	M_Nucleoli (Fibrillar center)	4_Uncertain	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
149	C8G	P07360	1	SingleLoc	FirstLoc	C_Endoplasmic reticulum	4_Uncertain	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
150	C8orf4	Q9NR00	3	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
153	C9orf172	C9J069	2	MultiLoc	FirstLoc	S_Focal Adhesions	3_Approved	3_Cytosol	SingleCLclass	2_Nucleus	1	FALSE
155	C9orf84	Q5VXU9	2	MultiLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
157	CA5B	Q9Y2D0	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	2_Supported	4_Mitochondria	SingleCLclass	4_Mitochondria	1	TRUE
158	CADPS	Q9ULU8	1	SingleLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
159	CALB1	P05937	1	SingleLoc	FirstLoc	A_Vesicles	2_Supported	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
160	CALHM2	Q9HA72	3	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
163	CAMK2A	Q9UQM7	2	MultiLoc	FirstLoc	E_Cell Junctions	2_Supported	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
165	CAMK2N2	Q96S95	2	MultiLoc	FirstLoc	H_Nucleus	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
167	CAMK4	Q16566	2	MultiLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
169	CAMTA2	O94983	3	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
172	CAPS2	Q9BXY5	3	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
175	CBFA2T3	O75081	1	SingleLoc	FirstLoc	G_Nucleoplasm	1_Validated	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
176	CCBE1	Q6UXH8	2	MultiLoc	FirstLoc	N_Cytosol	1_Validated	3_Cytosol	SingleCLclass	2_Nucleus	1	FALSE
178	CCDC107	Q8WV48	2	MultiLoc	FirstLoc	G_Nucleoplasm	1_Validated	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
180	CCDC112	Q8NEF3	3	MultiLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	4_Mitochondria	1	FALSE
183	CCDC125	Q86Z20	3	MultiLoc	FirstLoc	G_Nucleoplasm	4_Uncertain	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
186	CCDC136	Q96JN2	1	SingleLoc	FirstLoc	J_Nucleoli	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
187	CCDC150	Q8NCX0	1	SingleLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
188	CCDC154	A6NI56	2	MultiLoc	FirstLoc	B_Golgi apparatus	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
190	CCDC170	Q8IYT3	2	MultiLoc	FirstLoc	B_Golgi apparatus	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
192	CCDC175	P0C221	3	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	4_Mitochondria	1	FALSE
195	CCDC181	Q5TID7	1	SingleLoc	FirstLoc	I_Nuclear speckles	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
196	CCDC40	Q4G0X9	1	SingleLoc	FirstLoc	P_Microtubules	3_Approved	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
197	CCDC8	Q9H0W5	3	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
200	CCDC83	Q8IWF9	3	MultiLoc	FirstLoc	H_Nucleus	4_Uncertain	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
203	CCM2L	Q9NUG4	1	SingleLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
204	CCNG1	P51959	1	SingleLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
205	CCNJ	Q5T5M9	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
207	CD14	P08571	1	SingleLoc	FirstLoc	A_Vesicles	2_Supported	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
208	CD163L1	Q9NR16	3	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
211	CDC14A	Q9UNH5	3	MultiLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
214	CDC14B	O60729	1	SingleLoc	FirstLoc	L_Nuclear membrane	2_Supported	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
215	CDH2	P19022	2	MultiLoc	FirstLoc	E_Cell Junctions	2_Supported	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
217	CDH4	P55283	1	SingleLoc	FirstLoc	D_Plasma membrane	1_Validated	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
218	CDIP1	Q9H305	2	MultiLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
220	CDK20	Q8IZL9	1	SingleLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
221	CDK2AP2	O75956	1	SingleLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
222	CDKL1	Q00532	2	MultiLoc	FirstLoc	G_Nucleoplasm	1_Validated	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
224	CDKL2	Q92772	2	MultiLoc	FirstLoc	H_Nucleus	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
226	CDO1	Q16878	1	SingleLoc	FirstLoc	G_Nucleoplasm	4_Uncertain	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
227	CEACAM18	A8MTB9	1	SingleLoc	FirstLoc	X_Midbody	3_Approved	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
228	CECR2	Q9BXF3	2	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
230	CEND1	Q8N111	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	3_Approved	4_Mitochondria	SingleCLclass	4_Mitochondria	1	TRUE
231	CENPBD1	B2RD01	2	MultiLoc	FirstLoc	J_Nucleoli	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
233	CES1	P23141	1	SingleLoc	FirstLoc	C_Endoplasmic reticulum	1_Validated	1_Secretory	SingleCLclass	2_Nucleus	1	FALSE
234	CFD	P00746	1	SingleLoc	FirstLoc	D_Plasma membrane	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
235	CHD5	Q8TDI0	3	MultiLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
238	CHGB	P05060	1	SingleLoc	FirstLoc	A_Vesicles	2_Supported	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
239	CHI3L1	P36222	1	SingleLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	2_Nucleus	1	FALSE
240	CHRDL2	Q6WN34	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	4_Uncertain	4_Mitochondria	SingleCLclass	1_Secretory	1	FALSE
241	CHRM3	P20309	1	SingleLoc	FirstLoc	D_Plasma membrane	2_Supported	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
242	CHRM4	P08173	2	MultiLoc	FirstLoc	H_Nucleus	4_Uncertain	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
244	CHST2	Q9Y4C5	1	SingleLoc	FirstLoc	B_Golgi apparatus	2_Supported	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
245	CISH	Q9NSE2	2	MultiLoc	FirstLoc	P_Microtubules	3_Approved	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
247	CLCA2	Q9UQC9	2	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
249	CLDN7	O95471	2	MultiLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
251	CLEC11A	Q9Y240	1	SingleLoc	FirstLoc	O_Centrosome	3_Approved	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
252	CLEC7A	Q9BXN2	2	MultiLoc	FirstLoc	G_Nucleoplasm	4_Uncertain	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
254	CLSTN2	Q9H4D0	1	SingleLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
255	CMTM7	Q96FZ5	1	SingleLoc	FirstLoc	D_Plasma membrane	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
256	CNGA1	P29973	2	MultiLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
258	CNN1	P51911	1	SingleLoc	FirstLoc	R_Actin filaments	3_Approved	3_Cytosol	SingleCLclass	2_Nucleus	1	FALSE
259	CNRIP1	Q96F85	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
260	COL21A1	Q96P44	1	SingleLoc	FirstLoc	N_Cytosol	2_Supported	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
261	COL9A3	Q14050	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
263	COLQ	Q9Y215	2	MultiLoc	FirstLoc	E_Cell Junctions	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
265	CORO6	Q6QEF8	1	SingleLoc	FirstLoc	B_Golgi apparatus	2_Supported	1_Secretory	SingleCLclass	4_Mitochondria	1	FALSE
266	CPAMD8	Q8IZJ3	1	SingleLoc	FirstLoc	S_Focal Adhesions	4_Uncertain	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
267	CPN1	P15169	2	MultiLoc	FirstLoc	H_Nucleus	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
269	CPNE4	Q96A23	2	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
271	CPT1C	Q8TCG5	1	SingleLoc	FirstLoc	O_Centrosome	3_Approved	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
272	CREB3L1	Q96BA8	2	MultiLoc	FirstLoc	N_Cytosol	4_Uncertain	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
274	CRYAA	P02489	2	MultiLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
276	CRYGS	P22914	1	SingleLoc	FirstLoc	N_Cytosol	4_Uncertain	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
277	CRYM	Q14894	1	SingleLoc	FirstLoc	N_Cytosol	2_Supported	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
278	CSF1R	P07333	2	MultiLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
280	CTNND2	Q9UQB3	3	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	4_Mitochondria	1	FALSE
283	CTNS	O60931	2	MultiLoc	FirstLoc	A_Vesicles	2_Supported	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
285	CTTNBP2	Q8WZ74	2	MultiLoc	FirstLoc	W_Midbody ring	3_Approved	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
287	CX3CL1	P78423	1	SingleLoc	FirstLoc	D_Plasma membrane	2_Supported	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
288	CXXC5	Q7LFL8	2	MultiLoc	FirstLoc	G_Nucleoplasm	1_Validated	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
290	CYP24A1	Q07973	3	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	4_Mitochondria	1	FALSE
293	CYP27A1	Q02318	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	1_Validated	4_Mitochondria	SingleCLclass	4_Mitochondria	1	TRUE
294	CYP27C1	Q4G0S4	1	SingleLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	4_Mitochondria	1	FALSE
295	CYP4B1	P13584	1	SingleLoc	FirstLoc	A_Vesicles	2_Supported	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
296	DACT1	Q9NYF0	1	SingleLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
297	DAZAP2	Q15038	1	SingleLoc	FirstLoc	I_Nuclear speckles	2_Supported	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
298	DDIT3	P35638	1	SingleLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	2_Nucleus	1	TRUE
299	DDIT4	Q9NX09	1	SingleLoc	FirstLoc	N_Cytosol	2_Supported	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
300	DDO	Q99489	1	SingleLoc	FirstLoc	N_Cytosol	2_Supported	3_Cytosol	SingleCLclass	2_Nucleus	1	FALSE
